company_id,cluster_id,cluster_name,distance_from_centroid
ABB,1,Value / Turnaround,1.351599281213956
ADANIENSOL,1,Value / Turnaround,1.1103238047690789
ADANIENT,1,Value / Turnaround,0.8942897403377938
ADANIGREEN,0,Leveraged / Financial Growth,1.9137480899540853
ADANIPORTS,3,High-Margin Defensives,0.9416757304078596
ADANIPOWER,1,Value / Turnaround,0.7997541065646429
AMBUJACEM,1,Value / Turnaround,0.4209541391195336
APOLLOHOSP,1,Value / Turnaround,0.49958207071668076
ASIANPAINT,1,Value / Turnaround,0.2101523491546773
ATGL,1,Value / Turnaround,0.5449225620535393
AXISBANK,0,Leveraged / Financial Growth,0.747584526121197
BAJAJ-AUTO,1,Value / Turnaround,0.538838977659111
BAJAJFINSV,0,Leveraged / Financial Growth,0.9952385019286082
BAJAJHLDNG,3,High-Margin Defensives,1.389519916944608
BAJFINANCE,0,Leveraged / Financial Growth,1.450309181411563
BANKBARODA,0,Leveraged / Financial Growth,1.9315684132163393
BEL,2,High-Quality Compounders,0.4574108413337793
BHARTIARTL,3,High-Margin Defensives,1.3712645000951862
BHEL,1,Value / Turnaround,1.016698407784612
BOSCHLTD,1,Value / Turnaround,1.892711094278869
BPCL,1,Value / Turnaround,0.8770942216458947
BRITANNIA,1,Value / Turnaround,0.5959008735776744
CANBK,0,Leveraged / Financial Growth,1.9904332827435258
CHOLAFIN,0,Leveraged / Financial Growth,0.8393098326263617
CIPLA,3,High-Margin Defensives,0.7166191527566179
COALINDIA,3,High-Margin Defensives,0.7182938429891378
DABUR,1,Value / Turnaround,0.2110370839042555
DIVISLAB,1,Value / Turnaround,0.4041904546226792
DLF,1,Value / Turnaround,2.2505701352802623
DMART,1,Value / Turnaround,0.6293851985413418
DRREDDY,1,Value / Turnaround,0.5776592291169927
EICHERMOT,1,Value / Turnaround,0.3687135981635767
GAIL,1,Value / Turnaround,0.548026574355709
GODREJCP,1,Value / Turnaround,0.28898488102300246
GRASIM,1,Value / Turnaround,0.8337691621215806
HAL,2,High-Quality Compounders,0.4574108413337715
HAVELLS,1,Value / Turnaround,1.5334282220763684
HCLTECH,1,Value / Turnaround,0.4998871011150888
HDFCBANK,0,Leveraged / Financial Growth,0.43697415223423275
HDFCLIFE,3,High-Margin Defensives,1.1694345629364842
HEROMOTOCO,3,High-Margin Defensives,0.49957172777834946
HINDALCO,3,High-Margin Defensives,0.4281054728590642
HINDUNILVR,3,High-Margin Defensives,0.344958233618518
ICICIBANK,0,Leveraged / Financial Growth,0.5374197920737519
ICICIGI,3,High-Margin Defensives,1.7561408394333609
ICICIPRULI,3,High-Margin Defensives,1.18952485377899
INDIGO,3,High-Margin Defensives,1.528058006775091
INDUSINDBK,0,Leveraged / Financial Growth,0.45997416013966663
INFY,1,Value / Turnaround,0.2582817842357654
IOC,1,Value / Turnaround,2.83854575697431
IRCTC,1,Value / Turnaround,2.59613111746447
IRFC,0,Leveraged / Financial Growth,1.8883895806469801
ITC,1,Value / Turnaround,0.7400281123525064
JINDALSTEL,1,Value / Turnaround,0.3778868357232854
JIOFIN,4,Emerging Growth,0.0
JSWENERGY,1,Value / Turnaround,1.1827588406447491
JSWSTEEL,1,Value / Turnaround,0.43291702883031935
KOTAKBANK,3,High-Margin Defensives,1.4748495803421644
LICI,1,Value / Turnaround,3.051125173768296
LODHA,1,Value / Turnaround,2.1785817950547575
LT,1,Value / Turnaround,0.8073076297252515
LTIM,1,Value / Turnaround,0.3302718814826411
M&M,1,Value / Turnaround,0.4187675902270314
MARUTI,1,Value / Turnaround,0.34371732409249506
MOTHERSON,1,Value / Turnaround,0.6544647662907643
NAUKRI,1,Value / Turnaround,0.5772265582545342
NESTLEIND,1,Value / Turnaround,0.6743722443372621
NHPC,3,High-Margin Defensives,1.6891375553500112
NTPC,1,Value / Turnaround,0.6488181872554131
ONGC,1,Value / Turnaround,0.44146054606252966
PFC,0,Leveraged / Financial Growth,0.7485740119402641
PIDILITIND,1,Value / Turnaround,0.4270663982482914
PNB,0,Leveraged / Financial Growth,1.326856301365711
POWERGRID,3,High-Margin Defensives,0.782987570348342
RECLTD,0,Leveraged / Financial Growth,1.8930748055101876
RELIANCE,1,Value / Turnaround,0.11655449438902057
SBILIFE,1,Value / Turnaround,1.3117684892287147
SBIN,1,Value / Turnaround,2.069756849237943
SHREECEM,1,Value / Turnaround,0.7209010871217407
SHRIRAMFIN,0,Leveraged / Financial Growth,1.3864534971304128
SIEMENS,1,Value / Turnaround,0.31679976279894834
SUNPHARMA,1,Value / Turnaround,0.9200899755305046
TATACONSUM,1,Value / Turnaround,2.585374636831819
TATAMOTORS,1,Value / Turnaround,0.3527587197243193
TATAPOWER,1,Value / Turnaround,0.5960939938432188
TATASTEEL,1,Value / Turnaround,0.513254259470636
TCS,1,Value / Turnaround,0.7088012663417612
TECHM,1,Value / Turnaround,1.5270494349668504
TITAN,1,Value / Turnaround,0.5418461223006216
TORNTPHARM,1,Value / Turnaround,0.6165365807155714
TRENT,1,Value / Turnaround,0.24416252861473753
TVSMOTOR,1,Value / Turnaround,1.2086355837035827
