kpi,count,p10,p25,p50,p75,p90,mean,std
net_profit_margin_pct,92,4.619,7.245,14.21,20.347,29.244,20.016,45.183
operating_profit_margin_pct,91,9.84,16.01,25.83,40.15,84.04,34.669,27.512
return_on_equity_pct,91,8.37,11.67,16.72,26.005,48.28,123.897,637.145
debt_to_equity,91,0.01,0.055,0.43,1.595,6.45,1.668,2.863
interest_coverage,91,1.61,3.18,11.36,58.09,192.29,126.129,485.941
asset_turnover,91,0.07,0.215,0.68,1.135,1.66,3.505,15.848
revenue_cagr_5yr,91,5.805,7.891,11.772,16.062,20.197,56.644,420.388
pat_cagr_5yr,86,6.325,9.412,12.847,20.284,25.431,73.571,546.031
eps_cagr_5yr,84,0.248,6.504,10.307,15.285,21.844,11.106,15.297
fcf_cagr_5yr,41,-5.002,6.252,14.698,21.815,32.285,13.716,20.222
dividend_yield_pct,92,0.523,1.158,2.18,3.422,4.199,2.29,1.306
