company_id,year,free_cash_flow,cfo_quality_score,cfo_quality_label,capex_intensity,capex_label,fcf_conversion,cfo_sign,cfi_sign,cff_sign,pattern_label
TCS,Mar-13,5577.0,,Accrual Risk,,Capital Intensive,,+,-,-,Reinvestor
TCS,Mar-14,5299.0,,Accrual Risk,,Capital Intensive,,+,-,-,Reinvestor
TCS,Mar-15,17562.0,,Accrual Risk,,Capital Intensive,,+,-,-,Reinvestor
TCS,Mar-16,14099.0,,Accrual Risk,,Capital Intensive,,+,-,-,Reinvestor
TCS,Mar-17,8328.0,,Accrual Risk,,Capital Intensive,,+,-,-,Reinvestor
TCS,Mar-18,28171.0,,Accrual Risk,,Capital Intensive,,+,+,-,Liquidating Assets
TCS,Mar-19,30238.0,,Accrual Risk,,Capital Intensive,,+,+,-,Liquidating Assets
TCS,Mar-20,41337.0,,Accrual Risk,,Capital Intensive,,+,+,-,Liquidating Assets
TCS,Mar-21,30846.0,,Accrual Risk,,Capital Intensive,,+,-,-,Reinvestor
TCS,Mar-22,39211.0,,Accrual Risk,,Capital Intensive,,+,-,-,Reinvestor
TCS,Mar-23,42513.0,,Accrual Risk,,Capital Intensive,,+,+,-,Liquidating Assets
TCS,Mar-24,50429.0,,Accrual Risk,,Capital Intensive,,+,+,-,Liquidating Assets
ABB,Dec 2012,42.0,0.7,Moderate,3.57,Moderate,20.79,+,-,-,Reinvestor
ABB,Mar 2014,11.0,0.78,Moderate,6.33,Moderate,4.12,+,-,-,Reinvestor
ABB,Mar 2015,28.0,0.94,Moderate,8.17,Capital Intensive,8.97,+,-,-,Reinvestor
ABB,Mar 2016,172.0,0.98,Moderate,2.95,Asset Light,47.12,+,-,-,Reinvestor
ABB,Mar 2017,152.0,1.11,High Quality,5.34,Moderate,38.19,+,-,-,Shareholder Returns
ABB,Mar 2018,-62.0,0.38,Accrual Risk,6.52,Moderate,-11.81,+,-,-,Reinvestor
ABB,Mar 2019,242.0,1.11,High Quality,6.99,Moderate,40.0,+,-,-,Shareholder Returns
ABB,Mar 2020,225.0,1.06,High Quality,9.8,Capital Intensive,29.72,+,-,-,Shareholder Returns
ABB,Mar 2021,655.0,1.05,High Quality,1.67,Asset Light,71.04,+,-,-,Shareholder Returns
ABB,Mar 2022,552.0,1.19,High Quality,8.06,Capital Intensive,51.02,+,-,-,Shareholder Returns
