company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,profitability_score,roe_score,leverage_score,efficiency_score,financial_health_score,health_rating
ABB,Dec 2012,8.77,12.22,22.41,0.0,,1.82,8,20,20,16,64,Good
ABB,Mar 2014,8.7,11.73,25.13,0.0,,2.0,8,20,20,20,68,Good
ABB,Mar 2015,10.0,13.63,24.44,0.0,,1.67,12,20,20,16,68,Good
ABB,Mar 2016,9.76,13.96,21.34,0.0,138.33,1.62,8,20,20,16,64,Good
ABB,Mar 2017,9.54,13.71,19.97,0.0,227.5,1.41,8,16,20,12,56,Good
ABB,Mar 2018,12.16,15.92,23.69,0.0,160.5,1.37,12,20,20,12,64,Good
ABB,Mar 2019,12.23,16.44,22.41,0.0,359.0,1.25,12,20,20,12,64,Good
ABB,Mar 2020,14.49,18.49,24.39,0.07,96.78,1.15,12,20,20,12,64,Good
ABB,Mar 2021,16.03,21.39,26.56,0.06,55.72,1.12,16,20,20,12,68,Good
ABB,Mar 2022,16.26,22.02,28.33,0.05,61.32,1.16,16,20,20,12,68,Good
ABB,Mar 2023,17.74,22.55,29.77,0.04,85.0,1.17,16,20,20,12,68,Good
ABB,Mar 2024,20.53,24.84,32.47,0.02,141.75,1.13,20,20,20,12,72,Excellent
ADANIENSOL,Mar 2014,,,0.0,0.0,,,4,4,20,4,32,Weak
ADANIENSOL,Mar 2015,-5.34,77.1,-0.65,8.96,1.42,0.01,4,4,4,4,16,Weak
ADANIENSOL,Mar 2016,16.77,87.83,13.77,3.21,2.09,0.19,16,12,4,4,36,Weak
ADANIENSOL,Mar 2017,14.46,68.95,14.12,3.05,2.22,0.22,12,12,4,4,32,Weak
ADANIENSOL,Mar 2018,28.98,71.65,18.87,1.72,3.31,0.23,20,16,12,4,52,Average
ADANIENSOL,Mar 2019,7.65,38.03,6.95,2.5,2.24,0.22,8,8,8,4,28,Weak
ADANIENSOL,Mar 2020,6.18,37.3,8.31,2.85,2.02,0.29,8,8,8,4,28,Weak
ADANIENSOL,Mar 2021,13.0,39.79,14.46,3.04,2.39,0.23,12,12,4,4,32,Weak
ADANIENSOL,Mar 2022,10.98,37.36,12.47,3.02,2.32,0.24,12,12,4,4,32,Weak
ADANIENSOL,Mar 2023,9.64,33.99,10.9,2.92,2.19,0.25,8,12,8,4,32,Weak
ADANIENSOL,Mar 2024,7.2,34.39,9.46,2.93,2.28,0.28,8,8,8,4,28,Weak
ADANIENT,Mar 2013,2.63,12.98,5.69,3.24,2.23,0.41,4,8,4,4,20,Weak
ADANIENT,Mar 2014,4.82,17.08,11.14,3.03,1.85,0.47,4,12,4,4,24,Weak
ADANIENT,Mar 2015,3.56,19.31,8.93,3.25,1.88,0.49,4,8,4,4,20,Weak
ADANIENT,Mar 2016,2.94,4.95,7.47,1.43,2.01,0.82,4,8,12,8,32,Weak
ADANIENT,Mar 2017,2.53,5.21,6.54,1.47,2.11,0.77,4,8,12,8,32,Weak
ADANIENT,Mar 2018,1.65,5.67,3.94,1.17,1.92,0.64,4,4,12,8,28,Weak
ADANIENT,Mar 2019,1.25,4.88,3.43,0.76,1.52,0.95,4,4,16,8,32,Weak
ADANIENT,Mar 2020,2.4,5.29,6.14,0.73,2.01,0.93,4,8,16,8,36,Weak
ADANIENT,Mar 2021,2.65,6.34,6.1,0.95,2.18,0.77,4,8,16,8,36,Weak
ADANIENT,Mar 2022,1.14,5.35,3.54,1.87,1.87,0.68,4,4,12,8,28,Weak
ADANIENT,Mar 2023,1.9,6.91,7.33,1.61,2.43,0.9,4,8,12,8,32,Weak
ADANIENT,Mar 2024,3.46,11.8,8.53,1.67,2.75,0.6,4,8,12,8,32,Weak
ADANIGREEN,Mar 2017,-9.36,80.28,-3.91,3.61,1.45,0.08,4,4,4,4,16,Weak
ADANIGREEN,Mar 2018,-9.32,56.96,-10.29,7.36,1.6,0.09,4,4,4,4,16,Weak
ADANIGREEN,Mar 2019,-23.08,74.15,-24.57,5.76,1.43,0.14,4,4,4,4,16,Weak
