Table,Rows Loaded,Status
companies,0,UNIQUE constraint failed: companies.id
profit_loss,0,UNIQUE constraint failed: profit_loss.id
balance_sheet,0,UNIQUE constraint failed: balance_sheet.id
cash_flow,0,UNIQUE constraint failed: cash_flow.id
analysis,0,UNIQUE constraint failed: analysis.id
pros_and_cons,0,UNIQUE constraint failed: pros_and_cons.id
documents,0,UNIQUE constraint failed: documents.id
stock_prices,0,UNIQUE constraint failed: stock_prices.id
ratios,0,UNIQUE constraint failed: ratios.id
market_cap,0,UNIQUE constraint failed: market_cap.id
peer_groups,0,UNIQUE constraint failed: peer_groups.id
sectors,0,UNIQUE constraint failed: sectors.id
